80.0 0
7 5 4
6 5 4
4 5 4
2 5 4
4 5 4
11 4 4
1 5 8
9 4 8
4 5 4
6 5 4
7 5 8
9 5 8
2 6 8
11 5 24
7 5 4
6 5 4
4 5 4
2 5 4
4 5 4
11 4 4
1 5 8
9 4 8
4 4 4
6 4 4
7 4 8
6 4 8
2 4 8
4 4 24
7 5 4
6 5 4
4 5 4
2 5 4
4 5 4
11 4 4
1 5 8
9 4 8
4 5 4
6 5 4
7 5 8
9 5 8
2 6 8
11 5 24
7 5 4
6 5 4
4 5 4
2 5 4
4 5 4
11 4 4
1 5 8
9 4 8
4 4 4
6 4 4
7 4 8
6 4 8
2 4 8
4 4 24
9 5 4
7 5 4
5 5 4
4 5 4
2 5 4
5 5 4
4 5 8
11 4 8
11 4 4
4 5 4
9 5 4
7 5 4
5 5 4
4 5 4
2 5 4
5 5 4
4 5 16
4 4 4
9 4 4
2 5 4
1 5 4
11 4 4
9 4 4
11 4 4
1 5 4
11 4 8
4 4 8
4 4 4
6 4 4
7 4 8
9 4 8
0 5 8
11 4 24
9 5 4
7 5 4
5 5 4
4 5 4
2 5 4
5 5 4
4 5 8
11 4 8
11 4 4
4 5 4
9 5 4
7 5 4
5 5 4
4 5 4
2 5 4
5 5 4
4 5 16
4 4 4
9 4 4
2 5 4
1 5 4
11 4 4
9 4 4
11 4 4
1 5 4
11 4 8
4 4 8
4 4 4
6 4 4
7 4 8
6 4 8
2 4 8
4 4 24
