115.0 0
0 0 8
5 5 8
0 0 4
2 5 8
0 0 4
10 4 8
0 5 4
10 4 8
5 4 4
7 4 4
10 4 4
0 0 8
7 4 8
0 0 4
10 4 8
0 0 4
9 4 8
10 4 4
0 5 4
0 0 24
5 5 8
0 0 4
2 5 8
0 0 4
10 4 8
0 5 4
10 4 8
5 4 4
7 4 4
10 4 4
3 5 4
2 5 4
0 5 4
0 0 4
0 5 4
10 4 4
7 4 4
0 0 4
7 4 8
10 4 8
10 4 8
0 0 4
5 4 4
0 0 8
5 5 8
0 0 4
2 5 8
0 0 4
10 4 8
0 5 4
10 4 8
5 4 4
7 4 4
10 4 4
0 0 8
7 4 8
0 0 4
10 4 8
0 0 4
9 4 8
10 4 4
0 5 4
0 0 24
5 5 8
0 0 4
2 5 8
0 0 4
10 4 8
0 5 4
10 4 8
5 4 4
7 4 4
10 4 4
3 5 4
2 5 4
0 5 4
0 0 4
0 5 4
10 4 4
7 4 4
0 0 4
7 4 8
10 4 8
10 4 8
0 0 4
5 4 4
0 0 8
7 4 8
0 0 4
7 4 8
0 0 4
7 4 8
10 4 4
9 4 8
7 4 4
5 4 4
7 4 4
0 0 8
2 4 8
0 0 4
2 4 8
0 0 4
0 4 8
2 4 4
3 4 8
2 4 4
0 4 4
0 0 12
7 4 8
0 0 4
7 4 8
0 0 4
7 4 8
10 4 4
9 4 8
7 4 4
5 4 4
7 4 4
0 0 8
9 4 8
0 0 4
5 4 8
0 0 4
9 4 8
0 5 4
10 4 8
9 4 4
7 4 4
9 4 4
0 0 8
7 4 8
0 0 4
7 4 8
0 0 4
7 4 8
10 4 4
9 4 8
7 4 4
5 4 4
7 4 4
0 0 8
2 4 8
0 0 4
2 4 8
0 0 4
0 4 8
2 4 4
3 4 8
2 4 4
0 4 4
0 0 12
7 4 8
0 0 4
7 4 8
0 0 4
7 4 8
10 4 4
9 4 8
7 4 4
5 4 4
7 4 4
0 0 8
9 4 8
0 0 4
5 4 8
0 0 4
9 4 8
0 5 4
10 4 8
9 4 4
7 4 4
9 4 4
0 0 8
7 4 8
0 0 4
7 4 8
0 0 4
7 4 8
10 4 4
9 4 8
7 4 4
5 4 4
7 4 4
0 0 8
7 4 8
0 0 4
7 4 8
0 0 4
7 4 8
10 4 4
9 4 8
7 4 4
5 4 4
7 4 4
0 0 8
9 4 8
0 0 4
5 4 8
0 0 4
9 4 8
0 5 4
0 5 4
0 0 8
9 4 8
0 0 8
9 4 8
0 0 2
10 4 4
0 0 2
9 4 4
0 0 12
9 4 8
