55.0 0
0 0 8
7 5 4
7 5 4
7 5 8
0 0 4
7 5 2
5 5 2
4 5 4
4 5 2
5 5 2
7 5 4
4 5 4
2 5 4
0 0 4
0 5 4
2 5 4
4 5 4
0 5 4
7 4 4
0 0 4
0 0 16
9 4 16
11 4 16
0 5 8
7 4 4
9 4 4
0 5 8
7 4 4
9 4 4
0 5 4
0 5 8
0 0 4
7 4 8
7 4 8
0 5 8
7 4 4
9 4 4
0 5 8
7 4 4
9 4 4
0 5 4
0 5 8
11 4 4
11 4 16
0 0 8
7 5 4
7 5 4
7 5 8
0 0 4
7 5 2
5 5 2
4 5 4
4 5 2
5 5 2
7 5 4
4 5 4
2 5 4
0 0 4
0 5 4
2 5 4
4 5 4
0 5 4
7 4 4
7 4 2
9 4 2
7 4 4
7 4 2
9 4 2
7 4 4
0 5 4
0 0 8
0 5 4
9 4 2
11 4 2
0 0 2
7 4 2
9 4 2
0 0 2
11 4 4
7 4 4
0 0 8
7 5 4
9 5 4
7 5 4
0 0 8
4 5 2
5 5 2
7 5 4
5 5 2
4 5 2
2 5 4
9 4 4
7 4 8
5 4 4
9 4 4
7 4 4
4 5 4
0 5 4
7 4 2
9 4 2
7 4 4
7 4 2
9 4 2
7 4 4
0 5 4
0 0 8
2 5 4
9 4 2
11 4 2
0 0 2
7 4 2
9 4 4
11 4 4
0 5 4
0 0 4
7 5 2
7 5 2
0 0 2
0 0 2
7 5 8
5 5 8
4 5 4
0 5 4
2 5 2
4 5 2
0 0 4
4 5 1
5 5 1
0 0 4
6 5 1
7 5 5
0 0 4
0 0 4
0 0 4
9 5 4
7 5 2
4 5 2
2 5 12
7 4 4
9 4 4
0 5 4
9 4 4
0 5 2
2 5 2
0 5 12
0 0 8
7 5 4
0 5 4
2 5 4
0 5 2
0 5 2
7 5 4
0 5 4
2 5 4
0 5 4
5 5 4
0 5 4
2 5 4
0 5 2
0 5 2
7 5 4
0 5 4
2 5 4
0 5 4
7 5 4
0 5 4
2 5 4
0 5 2
0 5 2
7 5 4
0 5 4
2 5 4
0 5 4
5 5 4
0 5 4
2 5 4
0 5 2
0 5 2
7 5 4
0 5 4
2 5 4
0 5 4
7 5 4
0 5 4
7 5 4
7 5 4
7 5 4
0 5 4
2 5 4
0 5 4
5 5 4
0 5 4
2 5 4
0 5 2
0 5 2
7 5 4
0 5 4
2 5 4
0 5 4
7 5 4
0 5 4
2 5 4
0 5 2
0 5 2
7 5 4
0 5 4
2 5 4
0 5 4
5 5 4
0 5 4
2 5 4
0 5 2
0 5 2
7 5 4
0 5 4
2 5 4
0 5 4
0 0 8
7 5 4
7 5 4
7 5 8
0 0 4
7 5 2
5 5 2
4 5 4
4 5 2
5 5 2
7 5 4
4 5 4
2 5 4
0 0 4
0 5 4
2 5 4
7 5 4
4 5 4
5 5 4
2 5 4
4 5 4
0 5 4
2 5 4
7 4 4
9 4 4
5 4 4
7 4 2
9 5 3
0 0 4
7 5 14
0 0 1
0 0 8
7 5 4
9 5 4
7 5 4
0 0 8
4 5 2
5 5 2
7 5 4
5 5 2
4 5 2
2 5 4
9 4 4
7 4 8
5 4 4
9 4 4
7 5 4
4 5 4
5 5 4
2 5 4
4 5 4
0 5 4
2 5 4
7 4 4
8 5 4
3 5 4
2 5 4
0 5 4
2 5 4
2 4 4
3 4 4
9 3 4
5 5 4
9 5 4
0 0 4
9 5 4
7 5 4
11 5 4
0 0 4
2 6 4
5 5 2
7 5 2
9 5 2
0 0 2
9 5 2
7 5 2
9 5 2
0 0 2
11 5 2
7 5 2
9 5 2
1 6 2
2 6 2
6 6 2
7 6 2
0 0 2
0 0 4
7 5 2
7 5 2
0 0 2
0 0 2
7 5 8
5 5 8
4 5 4
0 5 4
2 5 2
4 5 2
0 0 4
4 5 1
5 5 1
0 0 4
6 5 1
7 5 5
0 0 4
0 0 4
0 0 4
9 5 4
7 5 2
4 5 2
2 5 12
7 4 4
9 4 4
0 5 4
9 4 4
0 5 2
2 5 2
0 5 12
0 0 8
0 5 4
7 5 2
7 5 2
0 0 2
0 0 2
7 5 8
5 5 8
4 5 4
0 5 4
2 5 2
4 5 2
0 0 4
4 5 1
5 5 1
0 0 4
6 5 1
7 5 5
0 0 4
0 0 4
0 0 4
9 5 4
7 5 2
4 5 2
2 5 12
7 4 4
9 4 4
0 5 4
9 4 4
0 5 2
2 5 2
0 5 12
0 0 8
0 0 4
9 5 4
7 5 2
4 5 2
2 5 12
7 4 4
9 4 4
0 5 16
0 5 4
0 5 4
9 4 4
0 5 4
2 5 2
0 5 10
0 0 4
0 0 16
