48.0 0
0 0 4
5 5 4
6 5 4
1 6 4
10 5 16
0 0 4
10 5 4
1 6 4
8 5 4
6 5 16
0 0 4
6 5 4
1 6 4
6 6 4
3 6 12
3 6 4
5 6 4
3 6 4
1 6 4
8 5 4
10 5 16
0 0 4
10 5 4
1 6 4
6 6 4
5 6 4
6 6 4
3 6 8
0 0 4
2 6 4
1 6 4
11 5 4
10 5 4
1 6 4
6 5 4
10 5 4
8 5 4
3 5 8
5 5 4
6 5 8
10 5 8
8 5 4
6 5 4
5 5 4
1 5 4
6 5 16
0 0 4
6 4 4
10 4 4
1 5 4
3 5 12
3 5 4
1 5 4
3 5 4
5 5 4
8 4 4
10 4 8
1 5 4
8 4 4
6 4 8
6 4 4
1 4 4
3 4 8
3 4 4
10 4 4
8 4 8
6 4 4
8 4 4
10 4 16
6 4 4
10 4 4
1 5 4
8 5 4
6 5 8
10 5 4
8 5 8
6 5 8
2 5 4
1 5 8
6 5 4
10 4 4
8 4 4
3 5 8
8 4 1
11 4 1
2 5 1
6 5 4
2 5 4
1 5 4
11 4 4
6 4 4
2 4 4
11 3 4
6 3 4
8 3 16
0 0 16
10 4 12
10 4 4
8 4 4
10 4 4
1 5 4
5 4 4
6 4 24
0 0 4
6 4 4
3 5 12
3 5 4
1 5 4
3 5 4
5 5 4
8 5 4
10 4 24
10 4 8
3 5 8
3 5 4
10 5 4
8 5 8
1 5 8
1 6 8
8 5 8
6 5 12
5 5 4
3 5 8
6 5 6
0 0 2
11 4 8
6 5 4
8 5 20
8 4 4
1 5 4
8 5 4
6 5 4
10 5 8
1 6 8
8 5 8
1 6 8
6 5 8
1 6 4
6 5 4
5 5 8
1 6 4
1 5 4
3 5 8
3 5 4
10 5 4
8 5 8
6 5 4
8 5 4
10 5 16
1 6 8
10 5 8
3 6 8
3 6 8
1 6 4
3 6 4
5 6 4
8 5 4
10 5 8
1 6 4
5 5 4
6 5 8
8 5 4
10 5 4
11 5 4
10 5 1
11 5 1
10 5 1
8 5 4
6 5 4
11 4 4
10 4 1
11 4 1
10 4 1
8 4 4
6 4 4
11 3 4
10 3 1
11 3 1
10 3 1
8 3 4
6 3 4
11 2 4
10 2 1
11 2 1
10 2 1
8 2 4
6 2 4
1 4 8
0 0 8
0 0 16
5 4 4
8 4 4
1 5 4
3 5 4
5 5 4
8 5 4
1 6 4
0 0 4
10 5 8
10 5 8
8 5 4
10 5 4
1 6 4
5 5 4
6 5 24
0 0 4
6 5 4
3 6 8
3 6 8
1 6 4
3 6 4
5 6 4
8 5 4
10 5 16
6 5 12
10 5 4
11 5 8
3 6 8
1 6 8
1 6 8
10 5 8
8 6 8
6 6 8
1 6 8
8 5 8
6 6 8
6 6 8
8 5 8
10 5 16
0 0 8
6 6 4
8 6 4
10 6 8
10 6 8
8 6 4
10 6 4
2 7 4
5 6 4
6 6 8
6 6 8
5 6 4
6 6 4
10 6 4
1 6 4
3 6 8
3 6 8
1 6 4
3 6 4
5 6 4
8 5 4
10 5 24
0 0 4
10 5 4
11 5 8
3 6 8
2 6 4
10 5 4
8 5 4
10 5 4
8 5 4
6 5 4
5 5 4
6 5 4
10 5 8
0 0 4
10 5 4
0 5 8
0 5 8
6 5 8
2 5 4
11 4 4
1 5 16
8 4 4
1 5 4
6 5 4
8 5 4
10 5 12
10 5 4
8 5 4
10 5 4
1 6 4
5 5 4
6 5 12
6 5 4
5 5 4
6 5 4
1 6 4
1 5 4
3 5 12
3 5 4
1 5 4
3 5 4
1 6 4
8 5 4
10 5 16
8 5 4
10 5 4
1 6 4
8 6 4
6 6 24
8 6 4
6 6 4
6 5 8
6 6 8
8 5 8
3 6 4
5 6 4
6 6 4
2 6 4
1 6 4
11 5 4
6 5 4
2 5 4
1 5 4
11 4 4
1 4 16
5 4 4
8 4 4
1 5 8
10 5 8
10 5 8
8 5 4
10 5 4
1 6 4
5 5 4
6 5 12
6 5 4
5 5 4
6 5 4
1 6 4
1 5 4
3 5 12
3 5 4
1 5 4
3 5 4
5 5 4
1 6 4
10 5 24
10 5 8
3 6 8
10 6 8
8 6 8
1 6 8
1 7 8
5 6 8
6 6 8
8 6 4
10 6 4
11 6 4
10 6 1
11 6 1
10 6 1
8 6 4
6 6 4
11 5 4
10 5 1
11 5 1
10 5 1
8 5 4
6 5 4
11 4 4
10 4 1
11 4 1
10 4 1
8 4 4
6 4 4
11 3 4
10 3 1
11 3 1
10 3 1
8 3 4
6 3 4
1 4 16
5 3 4
8 3 4
1 4 4
3 4 4
5 4 4
8 4 4
1 5 4
3 5 4
5 5 4
1 5 4
8 5 4
1 6 4
6 5 16
0 0 16
0 0 32
0 0 4
5 6 2
6 6 2
1 7 16
0 0 8
0 0 16
