x,y,z,vx,vy,vz,ax,ay,az,time
5.586745,0.916653,13.886332,558.674462,91.665301,1388.633232,-4.944622,-0.348357,-40.399833,0.01
11.172996,1.833271,27.768631,558.625091,91.66182,1388.22982,-4.937148,-0.348115,-40.341226,0.02
16.758753,2.749855,41.646901,558.575794,91.658341,1387.826993,-4.929686,-0.347874,-40.282751,0.03
22.344019,3.666403,55.521148,558.526571,91.654865,1387.424748,-4.922237,-0.347633,-40.224407,0.04
27.928793,4.582917,69.391379,558.477423,91.651391,1387.023087,-4.914799,-0.347392,-40.166195,0.05
33.513077,5.499396,83.257599,558.42835,91.64792,1386.622005,-4.907374,-0.347152,-40.108113,0.06
39.09687,6.415841,97.119814,558.37935,91.644451,1386.221504,-4.899962,-0.346912,-40.050161,0.07
44.680175,7.332251,110.97803,558.330424,91.640984,1385.82158,-4.892561,-0.346673,-39.992339,0.08
50.26299,8.248626,124.832252,558.281573,91.63752,1385.422234,-4.885173,-0.346434,-39.934647,0.09
55.845318,9.164967,138.682487,558.232795,91.634058,1385.023463,-4.877797,-0.346195,-39.877083,0.1
61.427159,10.081272,152.528739,558.18409,91.630598,1384.625267,-4.870433,-0.345956,-39.819649,0.11
67.008514,10.997544,166.371016,558.13546,91.627141,1384.227643,-4.863082,-0.345718,-39.762342,0.12
72.589383,11.913781,180.209322,558.086902,91.623686,1383.830592,-4.855742,-0.34548,-39.705164,0.13
78.169767,12.829983,194.043663,558.038418,91.620234,1383.43411,-4.848415,-0.345243,-39.648114,0.14
83.749667,13.746151,207.874045,557.990007,91.616784,1383.038199,-4.841099,-0.345006,-39.59119,0.15
89.329084,14.662284,221.700473,557.941669,91.613336,1382.642855,-4.833796,-0.344769,-39.534394,0.16
94.908018,15.578383,235.522954,557.893404,91.609891,1382.248077,-4.826505,-0.344532,-39.477724,0.17
100.48647,16.494448,249.341493,557.845212,91.606448,1381.853866,-4.819225,-0.344296,-39.42118,0.18
106.064441,17.410478,263.156095,557.797092,91.603007,1381.460218,-4.811958,-0.34406,-39.364763,0.19
111.641931,18.326473,276.966766,557.749045,91.599569,1381.067133,-4.804703,-0.343825,-39.30847,0.2
117.218942,19.242435,290.773512,557.701071,91.596133,1380.67461,-4.797459,-0.34359,-39.252303,0.21
122.795474,20.158362,304.576339,557.653168,91.592699,1380.282648,-4.790227,-0.343355,-39.19626,0.22
128.371527,21.074254,318.375251,557.605338,91.589268,1379.891244,-4.783008,-0.34312,-39.140342,0.23
133.947103,21.990113,332.170255,557.55758,91.585839,1379.500399,-4.7758,-0.342886,-39.084548,0.24
139.522202,22.905937,345.961356,557.509894,91.582413,1379.11011,-4.768604,-0.342652,-39.028878,0.25
145.096825,23.821727,359.74856,557.46228,91.578988,1378.720377,-4.761419,-0.342419,-38.973331,0.26
150.670972,24.737482,373.531872,557.414738,91.575567,1378.331198,-4.754247,-0.342186,-38.917907,0.27
156.244645,25.653204,387.311298,557.367267,91.572147,1377.942571,-4.747086,-0.341953,-38.862605,0.28
161.817843,26.568891,401.086843,557.319867,91.56873,1377.554497,-4.739937,-0.34172,-38.807426,0.29
167.390569,27.484544,414.858513,557.272539,91.565315,1377.166973,-4.7328,-0.341488,-38.752369,0.3
172.962822,28.400163,428.626313,557.225283,91.561902,1376.779999,-4.725674,-0.341256,-38.697434,0.31
178.534603,29.315748,442.390248,557.178097,91.558492,1376.393573,-4.71856,-0.341025,-38.642619,0.32
184.105912,30.231299,456.150325,557.130982,91.555084,1376.007694,-4.711458,-0.340794,-38.587926,0.33
189.676752,31.146816,469.906549,557.083939,91.551679,1375.62236,-4.704367,-0.340563,-38.533353,0.34
195.247121,32.062299,483.658925,557.036966,91.548275,1375.237571,-4.697288,-0.340332,-38.478901,0.35
200.817022,32.977747,497.407458,556.990064,91.544874,1374.853325,-4.69022,-0.340102,-38.424568,0.36
206.386454,33.893162,511.152154,556.943232,91.541476,1374.469622,-4.683164,-0.339872,-38.370355,0.37
211.955419,34.808543,524.893019,556.896471,91.538079,1374.086459,-4.676119,-0.339643,-38.316262,0.38
217.523917,35.72389,538.630057,556.84978,91.534685,1373.703836,-4.669086,-0.339414,-38.262287,0.39
223.091948,36.639203,552.363275,556.803159,91.531293,1373.321752,-4.662064,-0.339185,-38.208431,0.4
228.659515,37.554482,566.092677,556.756609,91.527904,1372.940205,-4.655054,-0.338956,-38.154692,0.41
234.226616,38.469727,579.818269,556.710128,91.524516,1372.559194,-4.648055,-0.338728,-38.101072,0.42
239.793253,39.384938,593.540056,556.663718,91.521131,1372.178719,-4.641068,-0.3385,-38.04757,0.43
245.359427,40.300116,607.258043,556.617377,91.517749,1371.798777,-4.634091,-0.338272,-37.994184,0.44
250.925138,41.215259,620.972237,556.571105,91.514368,1371.419368,-4.627127,-0.338045,-37.940916,0.45
256.490387,42.130369,634.682642,556.524904,91.51099,1371.04049,-4.620173,-0.337818,-37.887764,0.46
262.055175,43.045446,648.389264,556.478771,91.507614,1370.662143,-4.613231,-0.337591,-37.834729,0.47
267.619502,43.960488,662.092107,556.432708,91.50424,1370.284325,-4.6063,-0.337365,-37.781809,0.48
273.183369,44.875497,675.791177,556.386714,91.500869,1369.907035,-4.599381,-0.337139,-37.729005,0.49
278.746777,45.790472,689.48648,556.34079,91.4975,1369.530272,-4.592472,-0.336913,-37.676317,0.5
284.309726,46.705413,703.17802,556.294934,91.494133,1369.154034,-4.585575,-0.336688,-37.623743,0.51
289.872218,47.620321,716.865803,556.249147,91.490768,1368.778321,-4.578689,-0.336463,-37.571284,0.52
295.434252,48.535195,730.549835,556.203429,91.487406,1368.403132,-4.571814,-0.336238,-37.518939,0.53
300.99583,49.450035,744.230119,556.157779,91.484046,1368.028465,-4.56495,-0.336014,-37.466709,0.54
306.556952,50.364842,757.906663,556.112199,91.480688,1367.654319,-4.558098,-0.335789,-37.414592,0.55
312.117618,51.279615,771.579469,556.066686,91.477332,1367.280693,-4.551256,-0.335566,-37.362588,0.56
317.677831,52.194355,785.248545,556.021242,91.473979,1366.907586,-4.544426,-0.335342,-37.310698,0.57
323.23759,53.109061,798.913895,555.975866,91.470628,1366.534997,-4.537606,-0.335119,-37.25892,0.58
328.796895,54.023734,812.575525,555.930558,91.467279,1366.162924,-4.530798,-0.334896,-37.207255,0.59
334.355748,54.938374,826.233438,555.885318,91.463932,1365.791367,-4.524,-0.334674,-37.155702,0.6
339.91415,55.852979,839.887641,555.840146,91.460587,1365.420325,-4.517214,-0.334451,-37.104261,0.61
345.4721,56.767552,853.538139,555.795041,91.457245,1365.049795,-4.510438,-0.334229,-37.052931,0.62
351.0296,57.682091,867.184937,555.750004,91.453905,1364.679778,-4.503674,-0.334008,-37.001713,0.63
356.586651,58.596597,880.82804,555.705035,91.450567,1364.310272,-4.49692,-0.333786,-36.950605,0.64
362.143252,59.511069,894.467453,555.660133,91.447232,1363.941276,-4.490177,-0.333565,-36.899608,0.65
367.699405,60.425508,908.103181,555.615299,91.443898,1363.572789,-4.483446,-0.333345,-36.848722,0.66
373.25511,61.339914,921.735229,555.570532,91.440567,1363.204809,-4.476725,-0.333124,-36.797945,0.67
378.810368,62.254286,935.363602,555.525832,91.437238,1362.837337,-4.470014,-0.332904,-36.747278,0.68
384.36518,63.168625,948.988306,555.481198,91.433911,1362.470369,-4.463315,-0.332684,-36.696721,0.69
389.919547,64.082931,962.609345,555.436632,91.430586,1362.103907,-4.456626,-0.332465,-36.646272,0.7
395.473468,64.997204,976.226724,555.392133,91.427264,1361.737947,-4.449948,-0.332246,-36.595933,0.71
401.026945,65.911443,989.840449,555.3477,91.423944,1361.37249,-4.443281,-0.332027,-36.545702,0.72
406.579978,66.825649,1003.450524,555.303334,91.420626,1361.007535,-4.436625,-0.331808,-36.495579,0.73
412.132569,67.739822,1017.056955,555.259034,91.41731,1360.643079,-4.429979,-0.33159,-36.445564,0.74
417.684717,68.653962,1030.659747,555.2148,91.413996,1360.279122,-4.423344,-0.331372,-36.395656,0.75
423.236423,69.568069,1044.258903,555.170633,91.410684,1359.915664,-4.416719,-0.331155,-36.345856,0.76
428.787688,70.482143,1057.85443,555.126532,91.407375,1359.552702,-4.410106,-0.330937,-36.296163,0.77
434.338513,71.396184,1071.446333,555.082497,91.404068,1359.190236,-4.403502,-0.33072,-36.246577,0.78
439.888899,72.310191,1085.034615,555.038528,91.400763,1358.828265,-4.39691,-0.330504,-36.197097,0.79
445.438845,73.224166,1098.619283,554.994625,91.39746,1358.466788,-4.390328,-0.330287,-36.147724,0.8
450.988353,74.138107,1112.200341,554.950787,91.394159,1358.105804,-4.383756,-0.330071,-36.098456,0.81
456.537423,75.052016,1125.777794,554.907015,91.390861,1357.745311,-4.377195,-0.329855,-36.049294,0.82
462.086056,75.965892,1139.351647,554.863309,91.387564,1357.385308,-4.370645,-0.32964,-36.000237,0.83
467.634253,76.879734,1152.921905,554.819668,91.38427,1357.025795,-4.364105,-0.329424,-35.951285,0.84
473.182014,77.793544,1166.488573,554.776092,91.380978,1356.666771,-4.357575,-0.329209,-35.902438,0.85
478.729339,78.707321,1180.051655,554.732581,91.377688,1356.308234,-4.351056,-0.328995,-35.853695,0.86
484.276231,79.621065,1193.611157,554.689136,91.3744,1355.950184,-4.344547,-0.32878,-35.805057,0.87
